ggml_cuda_init: found 1 CUDA devices (Total VRAM: 45596 MiB):
  Device 0: NVIDIA L40S, compute capability 8.9, VMM: yes, VRAM: 45596 MiB

Computing statistics for /home/user1/workspace/bobchenyx/26-ICCAD/qwen35-imatrix-q8_0-callback-864.gguf (510 tensors)

 Layer	       Tensor	          Σ(Act²)	  Min	            Max	           μ	   σ	 % Active	N	   Entropy	E (norm)	ZD	  CosSim
    0	attn_qkv            	   2363.86	  0.4272	   396.5406	  1.15	  9.47	  100.00%	  2048	    8.8324	 80.29%	      0.44%	  0.0000
   34	attn_qkv            	   2189.24	  0.2630	   354.7218	  1.07	  8.24	  100.00%	  2048	    8.6555	 78.69%	      1.32%	  0.9867
    8	attn_qkv            	   2087.14	  0.2795	   395.9033	  1.02	  9.43	  100.00%	  2048	    8.2552	 75.05%	      0.78%	  0.0000
   33	attn_qkv            	   2063.24	  0.2711	   238.5431	  1.01	  5.86	  100.00%	  2048	    8.9795	 81.63%	      1.71%	  0.9917
   32	attn_qkv            	   2050.41	  0.2433	   319.4897	  1.00	  7.54	  100.00%	  2048	    8.5687	 77.90%	      1.51%	  0.0000
   10	attn_qkv            	   2047.32	  0.2151	   508.4196	  1.00	 11.62	  100.00%	  2048	    7.7976	 70.89%	      0.59%	  0.9962
    9	attn_qkv            	   2008.42	  0.2310	   396.7228	  0.98	  9.28	  100.00%	  2048	    8.2437	 74.94%	      0.78%	  0.9970
   18	attn_qkv            	   1949.74	  0.0785	   334.2072	  0.95	  7.83	  100.00%	  2048	    8.5991	 78.17%	      1.12%	  0.9987
   30	attn_qkv            	   1930.90	  0.1159	   388.5415	  0.94	  8.92	  100.00%	  2048	    8.2237	 74.76%	      1.17%	  0.9992
   20	attn_qkv            	   1888.11	  0.2435	   392.0877	  0.92	  8.95	  100.00%	  2048	    8.3297	 75.72%	      0.98%	  0.0000
    2	attn_qkv            	   1883.36	  0.1662	   675.9977	  0.92	 15.09	  100.00%	  2048	    6.9007	 62.73%	      0.54%	  0.9972
    1	attn_qkv            	   1874.29	  0.1842	   589.6859	  0.92	 13.30	  100.00%	  2048	    7.1508	 65.01%	      0.63%	  0.9417
   13	attn_qkv            	   1831.51	  0.1127	   263.8363	  0.89	  6.51	  100.00%	  2048	    8.6569	 78.70%	      1.07%	  0.9965
   29	attn_qkv            	   1825.90	  0.0908	   409.8906	  0.89	  9.34	  100.00%	  2048	    8.0396	 73.09%	      1.03%	  0.9996
   26	attn_qkv            	   1825.01	  0.1513	   341.3830	  0.89	  7.90	  100.00%	  2048	    8.4515	 76.83%	      1.03%	  0.9978
   22	attn_qkv            	   1806.49	  0.2004	   423.7420	  0.88	  9.58	  100.00%	  2048	    8.0958	 73.60%	      0.88%	  0.9983
   14	attn_qkv            	   1801.14	  0.0814	   260.0565	  0.88	  6.31	  100.00%	  2048	    8.7748	 79.77%	      1.12%	  0.9986
   21	attn_qkv            	   1799.61	  0.1139	   354.7949	  0.88	  8.11	  100.00%	  2048	    8.3984	 76.35%	      1.17%	  0.9990
   25	attn_qkv            	   1789.37	  0.0913	   282.1889	  0.87	  6.67	  100.00%	  2048	    8.6866	 78.97%	      1.17%	  0.9967
   28	attn_qkv            	   1748.46	  0.0969	   377.4416	  0.85	  8.61	  100.00%	  2048	    8.1934	 74.49%	      1.03%	  0.0000
    5	attn_qkv            	   1724.71	  0.1920	   432.5686	  0.84	 10.04	  100.00%	  2048	    7.6219	 69.29%	      0.49%	  0.4608
   16	attn_qkv            	   1723.23	  0.0624	   290.7415	  0.84	  6.82	  100.00%	  2048	    8.6482	 78.62%	      1.03%	  0.0000
   17	attn_qkv            	   1712.75	  0.0466	   314.7269	  0.84	  7.28	  100.00%	  2048	    8.5754	 77.96%	      0.93%	  0.9986
    6	attn_qkv            	   1708.78	  0.2154	   400.8223	  0.83	  9.40	  100.00%	  2048	    7.7523	 70.48%	      0.59%	  0.9993
   24	attn_qkv            	   1660.57	  0.0792	   333.1713	  0.81	  7.68	  100.00%	  2048	    8.3158	 75.60%	      1.03%	  0.0000
   12	attn_qkv            	   1639.58	  0.0930	   286.8236	  0.80	  6.84	  100.00%	  2048	    8.4437	 76.76%	      0.88%	  0.0000
    4	attn_qkv            	   1321.10	  0.1854	    69.8433	  0.65	  3.11	  100.00%	  2048	    8.9862	 81.69%	      1.51%	  0.0000
    3	attn_v              	   2607.82	  0.1032	  1137.0350	  1.27	 25.91	  100.00%	  2048	    5.2478	 47.71%	      0.39%	  0.0000
    7	attn_v              	   2232.72	  0.1241	   612.9888	  1.09	 16.05	  100.00%	  2048	    6.1239	 55.67%	      0.44%	  0.0000
   39	attn_v              	   2078.84	  0.2782	   381.7429	  1.02	  8.61	  100.00%	  2048	    8.8488	 80.44%	      0.83%	  0.0000
   11	attn_v              	   2006.36	  0.1205	   526.0669	  0.98	 13.03	  100.00%	  2048	    6.7041	 60.95%	      0.59%	  0.0000
   35	attn_v              	   1763.51	  0.1626	   407.3841	  0.86	  9.28	  100.00%	  2048	    8.0921	 73.56%	      0.73%	  0.0000
   19	attn_v              	   1508.55	  0.0315	   275.4331	  0.74	  7.62	  100.00%	  2048	    7.5089	 68.26%	      0.59%	  0.0000
   31	attn_v              	   1473.68	  0.0899	   293.4354	  0.72	  7.49	  100.00%	  2048	    7.6972	 69.97%	      0.98%	  0.0000
   23	attn_v              	   1470.40	  0.1016	   331.0586	  0.72	  8.30	  100.00%	  2048	    7.2301	 65.73%	      0.59%	  0.0000
   15	attn_v              	   1376.77	  0.0235	   275.8256	  0.67	  7.40	  100.00%	  2048	    7.1956	 65.41%	      0.63%	  0.0000
   27	attn_v              	   1193.48	  0.0367	   194.6169	  0.58	  5.69	  100.00%	  2048	    7.5760	 68.87%	      0.73%	  0.0000
   39	ffn_down_exps       	  62591.39	  0.0000	  3046.6465	  0.48	  9.66	   99.81%	131072	   14.3039	 84.14%	      0.33%	  0.0069
   38	ffn_down_exps       	  43112.47	  0.0000	   919.2573	  0.33	  2.70	  100.00%	131072	   15.6694	 92.17%	      0.69%	  0.0541
   37	ffn_down_exps       	  32773.78	  0.0000	    53.3635	  0.25	  0.48	   99.93%	131072	   16.0474	 94.40%	      5.64%	  0.1659
   36	ffn_down_exps       	  22256.92	  0.0000	    56.9113	  0.17	  0.36	  100.00%	131072	   16.1355	 94.91%	      4.80%	  0.1363
   35	ffn_down_exps       	  17688.94	  0.0069	    27.5613	  0.13	  0.29	  100.00%	131072	   16.1333	 94.90%	      4.32%	  0.1323
   34	ffn_down_exps       	  15290.18	  0.0046	    36.5268	  0.12	  0.23	  100.00%	131072	   16.2844	 95.79%	      4.57%	  0.1703
   33	ffn_down_exps       	  14872.23	  0.0000	    24.2715	  0.11	  0.20	  100.00%	131072	   16.2148	 95.38%	      5.64%	  0.2077
   32	ffn_down_exps       	  10553.23	  0.0000	    15.6793	  0.08	  0.12	   99.99%	131072	   16.3407	 96.12%	      6.41%	  0.2235
   31	ffn_down_exps       	   7004.54	  0.0050	    11.4639	  0.05	  0.09	  100.00%	131072	   16.4277	 96.63%	      4.96%	  0.2038
   30	ffn_down_exps       	   4973.83	  0.0000	    16.6504	  0.04	  0.07	   99.99%	131072	   16.4813	 96.95%	      4.16%	  0.2243
   29	ffn_down_exps       	   4097.84	  0.0000	     5.7287	  0.03	  0.04	   99.97%	131072	   16.4957	 97.03%	      5.71%	  0.2470
   28	ffn_down_exps       	   3676.89	  0.0000	     4.5452	  0.03	  0.03	   99.99%	131072	   16.5662	 97.45%	      6.88%	  0.2347
   27	ffn_down_exps       	   3233.28	  0.0000	     2.2971	  0.02	  0.03	   99.99%	131072	   16.5990	 97.64%	      6.22%	  0.2707
   25	ffn_down_exps       	   2622.67	  0.0000	     1.5500	  0.02	  0.02	   99.97%	131072	   16.6185	 97.76%	      6.19%	  0.2896
   26	ffn_down_exps       	   2522.27	  0.0000	     1.7902	  0.02	  0.02	   99.98%	131072	   16.6343	 97.85%	      6.42%	  0.3140
   23	ffn_down_exps       	   2391.28	  0.0000	     2.6793	  0.02	  0.02	   99.84%	131072	   16.6426	 97.90%	      6.14%	  0.2422
   19	ffn_down_exps       	   2390.38	  0.0009	     1.4188	  0.02	  0.02	  100.00%	131072	   16.6863	 98.15%	      7.57%	  0.2164
   20	ffn_down_exps       	   2351.49	  0.0000	     7.2308	  0.02	  0.04	   99.98%	131072	   16.4853	 96.97%	      2.35%	  0.2267
   21	ffn_down_exps       	   2347.34	  0.0000	     1.9986	  0.02	  0.02	   99.98%	131072	   16.5922	 97.60%	      4.97%	  0.1881
   22	ffn_down_exps       	   2131.23	  0.0000	     8.4195	  0.02	  0.03	  100.00%	131072	   16.6286	 97.82%	      2.47%	  0.2029
   24	ffn_down_exps       	   2123.41	  0.0013	     1.6623	  0.02	  0.02	  100.00%	131072	   16.6824	 98.13%	      6.77%	  0.2963
   18	ffn_down_exps       	   2102.58	  0.0000	    12.9298	  0.02	  0.05	   99.99%	131072	   16.5538	 97.38%	      0.95%	  0.1818
   16	ffn_down_exps       	   1901.12	  0.0000	     0.8914	  0.01	  0.01	   99.99%	131072	   16.6813	 98.13%	      7.80%	  0.2168
   15	ffn_down_exps       	   1870.06	  0.0000	     1.6364	  0.01	  0.02	   99.99%	131072	   16.6552	 97.97%	      6.10%	  0.2483
   13	ffn_down_exps       	   1827.56	  0.0000	     1.9996	  0.01	  0.02	   99.95%	131072	   16.6102	 97.71%	      4.79%	  0.1978
   17	ffn_down_exps       	   1797.09	  0.0000	     5.5755	  0.01	  0.02	   99.97%	131072	   16.6513	 97.95%	      3.29%	  0.2479
   14	ffn_down_exps       	   1682.77	  0.0000	     1.2638	  0.01	  0.01	   99.98%	131072	   16.6306	 97.83%	      6.13%	  0.2520
   11	ffn_down_exps       	   1616.41	  0.0000	     1.4418	  0.01	  0.01	   99.84%	131072	   16.6241	 97.79%	      7.86%	  0.3709
   12	ffn_down_exps       	   1457.85	  0.0010	     2.6812	  0.01	  0.02	  100.00%	131072	   16.6226	 97.78%	      3.78%	  0.2739
    9	ffn_down_exps       	   1310.54	  0.0000	     1.1203	  0.01	  0.01	   99.98%	131072	   16.5931	 97.61%	      5.06%	  0.1954
   10	ffn_down_exps       	   1268.59	  0.0000	     1.1566	  0.01	  0.01	  100.00%	131072	   16.6385	 97.87%	      7.22%	  0.2904
    8	ffn_down_exps       	   1206.84	  0.0000	     4.0443	  0.01	  0.02	   99.98%	131072	   16.5577	 97.40%	      2.38%	  0.1320
    7	ffn_down_exps       	   1042.05	  0.0000	     9.7098	  0.01	  0.03	  100.00%	131072	   16.4708	 96.89%	      0.75%	  0.1503
    6	ffn_down_exps       	    775.00	  0.0000	     1.4249	  0.01	  0.01	  100.00%	131072	   16.5178	 97.16%	      4.74%	  0.2336
    5	ffn_down_exps       	    741.13	  0.0000	     1.8895	  0.01	  0.01	   99.99%	131072	   16.4500	 96.76%	      4.97%	  0.2325
    4	ffn_down_exps       	    629.63	  0.0000	     1.5522	  0.00	  0.01	   99.86%	131072	   16.3547	 96.20%	      4.72%	  0.2689
    3	ffn_down_exps       	    470.78	  0.0000	     0.3793	  0.00	  0.00	   99.72%	131072	   16.4709	 96.89%	      6.35%	  0.3138
    1	ffn_down_exps       	    444.63	  0.0000	     0.9425	  0.00	  0.01	   98.36%	131072	   16.0092	 94.17%	      4.56%	  0.1337
    2	ffn_down_exps       	    317.16	  0.0000	     0.6017	  0.00	  0.00	   99.27%	131072	   16.5058	 97.09%	      5.01%	  0.2361
    0	ffn_down_exps       	    211.34	  0.0000	     0.4495	  0.00	  0.00	   58.57%	131072	   15.3514	 90.30%	      4.34%	  0.0000
   39	ffn_down_shexp      	   2251.82	  0.0185	   201.1060	  4.40	 15.90	  100.00%	   512	    6.2788	 69.76%	      5.47%	  0.0089
   38	ffn_down_shexp      	   2025.17	  0.0260	   856.1927	  3.96	 39.15	  100.00%	   512	    4.7210	 52.46%	      0.98%	  0.0046
   37	ffn_down_shexp      	    914.67	  0.0383	   250.4551	  1.79	 14.91	  100.00%	   512	    5.2792	 58.66%	      0.98%	  0.0068
   34	ffn_down_shexp      	    806.18	  0.0193	   339.9461	  1.57	 15.41	  100.00%	   512	    5.1916	 57.68%	      0.59%	  0.0055
   35	ffn_down_shexp      	    770.34	  0.0543	   167.1012	  1.50	  7.62	  100.00%	   512	    6.9214	 76.90%	      1.17%	  0.0126
   33	ffn_down_shexp      	    529.35	  0.0170	   330.3122	  1.03	 14.58	  100.00%	   512	    3.9816	 44.24%	      0.20%	  0.0150
